,Year,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Day,Month,Hour,Auroransilta,Eteläesplanadi,Huopalahti (asema),Kaisaniemi/Eläintarhanlahti,Kaivokatu,Kulosaaren silta et.,Kulosaaren silta po. ,Kuusisaarentie,"Käpylä, Pohjoisbaana",Lauttasaaren silta eteläpuoli,Merikannontie,Munkkiniemen silta eteläpuoli,Munkkiniemi silta pohjoispuoli,Heperian puisto/Ooppera,Pitkäsilta itäpuoli,Pitkäsilta länsipuoli,Lauttasaaren silta pohjoispuoli,Ratapihantie,Viikintie,Baana
52,2017,12.2,6.0,-4.6,22,2,276,0.0,369.0,352.0,316.0,0.0,1.0,387.0,396.0,0.0,674.0,485.0,443.0,161.0,603.0,408.0,236.0,270.0,341.0,0.0,695.0
53,2017,0.3,15.0,-0.7,23,2,276,0.0,279.0,249.0,236.0,0.0,0.0,269.0,263.0,0.0,530.0,364.0,339.0,147.0,519.0,353.0,250.0,217.0,275.0,0.0,586.0
54,2017,-1.0,13.0,-5.3,24,2,276,0.0,296.0,347.0,262.0,0.0,0.0,323.0,289.0,0.0,515.0,399.0,403.0,165.0,526.0,346.0,280.0,230.0,325.0,0.0,515.0
55,2017,0.4,13.0,-5.6,25,2,276,0.0,141.0,85.0,132.0,0.0,0.0,92.0,100.0,0.0,220.0,206.0,174.0,85.0,229.0,189.0,228.0,89.0,123.0,0.0,180.0
56,2017,2.5,12.0,-2.0,26,2,276,0.0,106.0,68.0,91.0,0.0,0.0,115.0,97.0,0.0,179.0,138.0,133.0,71.0,155.0,113.0,148.0,81.0,95.0,0.0,131.0
57,2017,1.0,14.0,-2.3,27,2,276,0.0,418.0,515.0,404.0,0.0,0.0,585.0,542.0,0.0,670.0,588.0,659.0,209.0,851.0,499.0,282.0,383.0,575.0,0.0,888.0
58,2017,7.7,13.0,2.1,28,2,276,0.0,458.0,519.0,417.0,0.0,0.0,603.0,564.0,0.0,897.0,658.0,654.0,248.0,829.0,612.0,333.0,406.0,646.0,0.0,908.0
59,2017,6.9,9.0,1.5,1,3,276,0.0,485.0,459.0,415.0,0.0,0.0,574.0,464.0,0.0,893.0,628.0,690.0,260.0,765.0,603.0,352.0,379.0,538.0,0.0,864.0
60,2017,0.5,7.0,1.5,2,3,276,0.0,496.0,458.0,390.0,0.0,0.0,520.0,468.0,0.0,936.0,641.0,625.0,227.0,869.0,585.0,365.0,389.0,500.0,0.0,858.0
61,2017,2.1,6.0,0.9,3,3,276,0.0,435.0,435.0,380.0,0.0,0.0,559.0,484.0,0.0,1013.0,591.0,654.0,213.0,755.0,556.0,374.0,358.0,460.0,0.0,806.0
62,2017,0.2,6.0,-1.8,4,3,276,0.0,187.0,98.0,129.0,0.0,0.0,176.0,108.0,0.0,433.0,240.0,152.0,108.0,296.0,248.0,281.0,129.0,138.0,0.0,295.0
63,2017,-1.0,6.0,-4.2,5,3,276,0.0,167.0,143.0,148.0,0.0,0.0,228.0,165.0,0.0,379.0,332.0,213.0,129.0,257.0,242.0,267.0,145.0,144.0,0.0,299.0
64,2017,-1.0,7.0,-4.2,6,3,276,0.0,512.0,558.0,476.0,0.0,0.0,681.0,636.0,0.0,981.0,713.0,699.0,270.0,876.0,616.0,367.0,422.0,536.0,0.0,1029.0
65,2017,5.7,6.0,-2.9,7,3,276,0.0,432.0,462.0,405.0,0.0,0.0,490.0,462.0,0.0,869.0,578.0,533.0,223.0,818.0,522.0,313.0,332.0,504.0,0.0,902.0
66,2017,0.1,10.0,0.2,8,3,276,0.0,417.0,407.0,327.0,0.0,0.0,437.0,398.0,0.0,814.0,517.0,542.0,225.0,673.0,481.0,324.0,273.0,416.0,0.0,784.0
67,2017,0.9,9.0,1.2,9,3,276,0.0,473.0,474.0,433.0,0.0,0.0,535.0,466.0,0.0,903.0,562.0,611.0,232.0,769.0,542.0,348.0,323.0,533.0,0.0,946.0
68,2017,0.5,8.0,1.4,10,3,276,0.0,496.0,462.0,399.0,0.0,0.0,507.0,468.0,0.0,931.0,567.0,619.0,238.0,775.0,554.0,387.0,338.0,521.0,0.0,915.0
69,2017,-1.0,7.0,2.2,11,3,276,0.0,350.0,166.0,267.0,0.0,0.0,373.0,240.0,0.0,574.0,442.0,279.0,218.0,441.0,440.0,407.0,179.0,214.0,0.0,500.0
70,2017,-1.0,6.0,-0.9,12,3,276,0.0,247.0,162.0,166.0,0.0,0.0,285.0,212.0,0.0,535.0,431.0,248.0,148.0,308.0,288.0,307.0,168.0,157.0,0.0,395.0
71,2017,-1.0,6.0,0.6,13,3,276,0.0,610.0,596.0,563.0,0.0,0.0,796.0,690.0,0.0,1227.0,875.0,801.0,335.0,1043.0,800.0,385.0,533.0,830.0,0.0,1302.0
72,2017,6.0,5.0,0.6,14,3,276,0.0,623.0,638.0,580.0,0.0,0.0,787.0,669.0,0.0,1294.0,841.0,803.0,311.0,1000.0,795.0,411.0,552.0,674.0,0.0,1343.0
